NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
BLOHEM E CASSIANO SERVICOS MEDICOS LTDA;BLOHEM E CASSIANO SERVICOS MEDICOS LTDA;Nome;56328-020;770;AVENIDA CARDOSO DE SÁ;VILA EDUARDO;PETROLINA;PE;Petrolina;OFTALMOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA;;;;;87;999293550;10/27/2025 12:00:00 AM
MASTO - CENTRO DE DIAG.DE DOENCAS DA MAMA LTDA;LAB IMAGEM MEDICINA DIAGNOSTICA;Nome;86010-020;310;AVENIDA BANDEIRANTES;VILA IPIRANGA;LONDRINA;PR;Londrina;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;41;32119500;;;;;10/27/2025 12:00:00 AM
LETICIA DE OLIVEIRA ROCHA;;Nome;32240-430;50;RUA DOS BENEDITINOS;BANDEIRANTES;CONTAGEM;MG;Belo Horizonte;FISIOTERAPIA;;;;;31;982710212;10/24/2025 12:00:00 AM
LM TERAPIA OCUPACIONAL;ELO ESPACO TERAPEUTICO;Nome;85720-001;1936;AVENIDA 24 DE OUTUBRO;CENTRO;MEDIANEIRA;PR;Foz do Iguaçu;PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;;;;;45;999572123;10/24/2025 12:00:00 AM
CLINICA MEDICA PERSONNALITE LTDA;CLINICA MEDICA PERSONNALITE;Nome;58322-000;0;CIDADE BALNEARIA NOVO MUNDO;JACUMA;CONDE;PB;I Núcleo Regional de Saúde;PSIQUIATRIA;;;;;83;982192323;10/24/2025 12:00:00 AM
CLINICA MULTIDISCIPLINAR ATIVARMENTE SGP LTDA;CLINICA MULTIDISCIPLINAR ATIVARMENTE SGP LTDA;Nome;29780-000;63;DR. FERNANDO SERRA;JARDIM DE INFÂNCIA;SAO GABRIEL DA PALHA;ES;SR Colatina;FONOAUDIOLOGIA  / NUTRICAO / PSICOLOGIA  / TERAPIA OCUPACIONAL;;;;;27;999045276;10/24/2025 12:00:00 AM
MEDICAL BALSAS LTDA;MEDICAL BALSAS;Nome;65800-000;1;PROJETADA;COHAB I SAO JOSE;BALSAS;MA;Gerais de Balsas;ORTOPEDIA E TRAUMATOLOGIA  / CLÍNICA MÉDICA / ENDOCRINOLOGIA E METABOLOGIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;;;;99;984210808;10/23/2025 12:00:00 AM
CLINICA DO SONO E PNEUMOLOGIA LTDA.;CLINICA SOMNUS;Nome;93510-223;833;AVENIDA DOUTOR MAURÍCIO CARDOSO;HAMBURGO VELHO;NOVO HAMBURGO;RS;CRS 01 Porto Alegre;PNEUMOLOGIA;51;30691042;;;;;10/23/2025 12:00:00 AM
CLINICA BETHESDA - ESPACOS DE GENIOS LTDA;CLINICA BETHESDA - ESPACOS DE GENIOS;Nome;68902-860;1478;AVENIDA ANHANGÜERA;BURITIZAL;MACAPA;AP;I Regional de Saúde;TERAPIA OCUPACIONAL / PSICOLOGIA  / NUTRICAO / FISIOTERAPIA / FONOAUDIOLOGIA;;;;;96;999148940;10/22/2025 12:00:00 AM
INSTITUTO TAVARES DE SERVICOS MEDICOS LTDA;INSTITUTO TAVARES DE SERVICOS MEDICOS LTDA.;Nome;36010-012;2817;AVENIDA BARÃO DO RIO BRANCO;CENTRO;JUIZ DE FORA;MG;Juiz de Fora;ENDOCRINOLOGIA E METABOLOGIA / NEUROCIRURGIA;32;33210071;;;;;10/22/2025 12:00:00 AM
CLINICA RADIOLOGICA CORE LTDA;CORE DIAGNOSTICO POR IMAGEM;Nome;96200-290;443;BARÃO DE COTEGIPE;CENTRO;RIO GRANDE;RS;CRS 03 Pelotas;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CARDIOLOGIA  / GINECOLOGIA E OBSTETRICIA;53;32303786;;;;;10/22/2025 12:00:00 AM
NATALIA RODRIGUES DE SOUZA;;Nome;36010-906;2555;AVENIDA BARÃO DO RIO BRANCO, 2555;CENTRO;JUIZ DE FORA;MG;Juiz de Fora;NUTRICAO;;;;;32;991361019;10/22/2025 12:00:00 AM
LAVIVERE CLINICA MEDICA E SAUDE LTDA;LAVIVERE CLINICA MEDICA MULTIDISCIPLINAR;Nome;35160-304;672;RUA JACARANDÁ;HORTO;IPATINGA;MG;Coronel Fabriciano;HEMATOLOGIA E HEMOTERAPIA / PEDIATRIA  / TERAPIA OCUPACIONAL / PSICOLOGIA  / NUTRICAO;;;;;31;983035759;10/22/2025 12:00:00 AM
FELDMANN & RUARO CLINICA MEDICA SS.;POAMED;Nome;91010-003;3312;ASSIS BRASIL;JARDIM LINDÓIA;PORTO ALEGRE;RS;CRS 01 Porto Alegre;ACUPUNTURA;51;30581312;;;;;10/22/2025 12:00:00 AM
DEL GUERRA & REBELATTO FONOAUDIOLOGIA E PSICOLOGIA LTDA;;Nome;13561-130;300;RUA DOUTOR SERAFIM VIEIRA DE ALMEIDA;JARDIM PARAÍSO;SAO CARLOS;SP;Araraquara;FONOAUDIOLOGIA  / PSICOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;;;;;16;997873838;10/22/2025 12:00:00 AM
FAZZINI SCHEUER FISIOTERAPIA E SAUDE LTDA;MYOREHAB FISIOTERAPIA E SAUDE;Nome;12246-002;50;RUA ARMANDO DE OLIVEIRA COBRA;PARQUE RESIDENCIAL AQUARIUS;SAO JOSE DOS CAMPOS;SP;Taubaté;FISIOTERAPIA;;;12;39235300;;;10/22/2025 12:00:00 AM
MARCELA REGINA CLIMACO SARMENTO;MARCELA REGINA CLIMACO SARMENTO;Nome;57200-000;338;ENGENHEIRO JOAQUIM GONÇALVES;SANTA LUZIA;PENEDO;AL;Região 02;NUTRICAO;;;;;82;988943442;10/22/2025 12:00:00 AM
CLINICA MULTIDISCIPLINAR VIVA MENTE LTDA;CLINICA VIVA MENTE;Nome;89218-000;1015;RUA PRESIDENTE PRUDENTE DE MORAES;SANTO ANTÔNIO;JOINVILLE;SC;Joinville;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA;47;34073095;;;;;10/22/2025 12:00:00 AM
MILIANA TOSTES LUCATO;MILIANA TOSTES LUCATO;Nome;74140-160;533;ALAMEDA DAS ROSAS;SETOR OESTE;GOIANIA;GO;Central;MASTOLOGIA;62;32506047;;;;;10/22/2025 12:00:00 AM
SIEM SERVICOS INTEGRADOS DE ESPECIALIDADE MEDICAS SS;;Nome;13560-330;1010;RUA RUI BARBOSA;VILA MONTEIRO (GLEBA I);SAO CARLOS;SP;Araraquara;PEDIATRIA  / ANESTESIOLOGIA  / CLÍNICA MÉDICA;16;35098090;;;;;10/22/2025 12:00:00 AM
POLISSONOGRAFIA E MEDICINA ESPECIALIZADA LTDA;POLIMED;Nome;62930-000;820;RUA CAMILO BRASILIENSE;;LIMOEIRO DO NORTE;CE;Limoeiro do Norte;CARDIOLOGIA  / PNEUMOLOGIA  / NEUROLOGIA;;;;;88;994797309;10/21/2025 12:00:00 AM
ALCEVIDAS LTDA;ALCEVIDAS;Nome;01333-011;37;RUA CINCINATO BRAGA;BELA VISTA;SAO PAULO;SP;Grande São Paulo;NUTRICAO / PSICOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA / FONOAUDIOLOGIA;;;;;11;998303892;10/21/2025 12:00:00 AM
EXTREMO SUL SERVICO DE SAUDE E GESTAO LTDA;EXTREMO SUL SERVICO DE SAUDE;Nome;45985-098;225;RUA IPIRANGA;CENTRO;TEIXEIRA DE FREITAS;BA;Teixeira de Freitas;FISIOTERAPIA;;;;;73;998725270;10/21/2025 12:00:00 AM
LAVIA ENDOCRINOLOGIA E CARDIOLOGIA LTDA;LAVIA ENDOCRINOLOGIA E CARDIOLOGIA LTDA;Nome;36013-020;1871;AVENIDA BARÃO DO RIO BRANCO;CENTRO;JUIZ DE FORA;MG;Juiz de Fora;ENDOCRINOLOGIA E METABOLOGIA / CARDIOLOGIA;32;30295632;;;32;999137012;10/21/2025 12:00:00 AM
RETINA OFTALMOLOGIA EIRELI;RETINA OFTALMOLOGIA;Nome;59603-020;337;RUA DUODÉCIMO ROSADO;DOZE ANOS;MOSSORO;RN;II ETAM;OFTALMOLOGIA;;;;;84;998162802;10/21/2025 12:00:00 AM
OLIVEIRA E MOSCOSO TERAPIAS INTEGRADAS LTDA;OLIVEIRA E MOSCOSO TERAPIAS INTEGRADAS LTDA;Nome;55296-310;780;AVENIDA SANTA ROSA;HELIÓPOLIS;GARANHUNS;PE;Garanhuns;TERAPIA OCUPACIONAL / PSICOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA / FONOAUDIOLOGIA  / NUTRICAO;;;;;81;983286468;10/21/2025 12:00:00 AM
L C SERVICOS MEDICOS LTDA - ME;L C SERVICOS MEDICOS;Nome;55295-515;260;GETULIO VARGAS;HELIÓPOLIS;GARANHUNS;PE;Garanhuns;DERMATOLOGIA;;;;;87;999444842;10/21/2025 12:00:00 AM
L B DOS SANTOS FISIOTERAPIA;L B DOS SANTOS BITTES FISIOTERAPIA;Nome;16020-383;1087;RUA SENADOR ASSIS CHATEAUBRIAND;ICARAY;ARACATUBA;SP;Araçatuba;FISIOTERAPIA;;;;;18;988236134;10/21/2025 12:00:00 AM
NUCLEO DE OTORRINO E MEDICINA DO SONO LTDA;NUCLEO DE OTORRINO E MEDICINA DO SONO LTDA;Nome;35930-017;405;RUA RICARDO LEITE;NOSSA SENHORA DA CONCEIÇÃO;JOAO MONLEVADE;MG;Itabira;OTORRINOLARINGOLOGIA;31;38521272;;;31;984600892;10/21/2025 12:00:00 AM
Y. V. DE MACEDO HELLER;YASMEEN VASCONCELOS DE MACEDO HELLER;Nome;69305-030;227;RUA 09 DE JULHO;SÃO FRANCISCO;BOA VISTA;RR;Secretaria Estadual de Saúde;PSICOLOGIA;;;;;95;981224373;10/21/2025 12:00:00 AM
BRITO E BARBOSA SERVICOS MEDICOS LTDA;BRITO E BARBOSA SERVICOS MEDICOS LTDA;Nome;75901-260;970;RUA ROSULINO FERREIRA GUIMARÃES;SETOR CENTRAL;RIO VERDE;GO;Sudoeste I;PEDIATRIA;64;36212999;64;36211751;17;999123932;10/21/2025 12:00:00 AM
ITALO CORDEIRO DE TOLEDO;;Nome;74115-050;1022;RUA 3 QD C-8 LT 93-99;SETOR OESTE;GOIANIA;GO;Central;CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;62;32506047;;;;;10/21/2025 12:00:00 AM
CLINICA OFTALMOLOGICA DR MARCILIO GOMES DE BARROS LTDA;CLINICA OFTALMOLOGICA DR MARCILIO GOMES DE BARROS;Nome;37470-000;365;DOS ANDRADAS;;SAO LOURENCO;MG;Varginha;OFTALMOLOGIA;;;;;35;991553066;10/20/2025 12:00:00 AM
CLINICA VITTA FISIO LTDA;CLINICA VITTA FISIO;Nome;38770-000;731;RUA DEPUTADO QUINTINO VARGAS;;JOAO PINHEIRO;MG;Patos de Minas;FISIOTERAPIA;;;;;38;999952992;10/20/2025 12:00:00 AM
GAIADI MAIS INTERVENCAO E TERAPIAS ABA LTDA;GAIADI MAIS INTERVENCAO E TERAPIAS ABA LTDA;Nome;14025-190;2345;RUA GARIBALDI;ALTO DA BOA VISTA;RIBEIRAO PRETO;SP;Ribeirão Preto;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;;;;;16;997660128;10/20/2025 12:00:00 AM
ELIZABETH NETTO SERVICOS MEDICOS LTDA;ERGO VIDA;Nome;30190-134;600;AVENIDA BARBACENA;BARRO PRETO;BELO HORIZONTE;MG;Belo Horizonte;CARDIOLOGIA;;;;;31;999846721;10/20/2025 12:00:00 AM
BENCLIN LTDA;BENCLIN;Nome;36090-340;200;RUA PAULO GARCIA;BENFICA;JUIZ DE FORA;MG;Juiz de Fora;PEDIATRIA  / PSICOLOGIA;32;39378823;;;32;998278340;10/20/2025 12:00:00 AM
CLINICA PORTZ SAUDE FAMILIAR LTDA;CLINICA PORTZ SAUDE FAMILIAR;Nome;95880-000;213;RUA BORGES DE MEDEIROS;CENTRO;ESTRELA;RS;CRS 16 Lajeado;MEDICINA DA FAMÍLIA E COMUNIDADE;;;;;51;984039868;10/20/2025 12:00:00 AM
INSTITUTO INTEGRAR ESPACO TERAPEUTICO LTDA;INTEGRAR ESPACO TERAPEUTICO MULTIDISCIPLINAR;Nome;28941-222;10;RUA MACAE;FLUMINENSE;SAO PEDRO DA ALDEIA;RJ;Baixada Litorânea;NUTRICAO / PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;22;23204641;22;23203699;;;10/20/2025 12:00:00 AM
TASSIA DE LIMA CARVALHO;LIMA CARVALHO SERVICOS;Nome;37647-206;20;RUA DOS FAISÕES;MORRO GRANDE;EXTREMA;MG;Pouso Alegre;FISIOTERAPIA;35;35513221;;;;;10/20/2025 12:00:00 AM
SONOCLIN CLINICA MEDICA LTDA;SONOCLIN;Nome;88811-503;100;RUA ANTÔNIO DE LUCCA;PIO CORRÊA;CRICIUMA;SC;Criciúma;PNEUMOLOGIA  / CLÍNICA MÉDICA;48;34372695;;;48;988162312;10/20/2025 12:00:00 AM
OLIVEIRA E MAIA SERVICOS MEDICOS LTDA;OLIVEIRA E MAIA SERVICOS MEDICOS LTDA;Nome;59020-200;800;AVENIDA RODRIGUES ALVES;TIROL;NATAL;RN;Grande Natal;GERIATRIA   / DERMATOLOGIA;84;32119455;;;;;10/20/2025 12:00:00 AM
CLINICA LIOR LTDA;;Nome;13405-249;509;AVENIDA SANTO ESTEVÃO;VILA REZENDE;PIRACICABA;SP;Piracicaba;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL;;;;;11;934995544;10/20/2025 12:00:00 AM
NEUROCENTER CENTRO DE NEUROCIRURGIA E FISIOTERAPIA LTDA;NEUROCENTER;Nome;29151-920;236;AVENIDA MERIDIONAL, 184;ALTO LAGE;CARIACICA;ES;SR Vitória;NEUROCIRURGIA  / NEUROLOGIA;27;30452009;;;;;10/19/2025 12:00:00 AM
CAIO FARIA SBAGLIA FISIOTERAPIA PERSONALIZADA LTDA;CS FISIOTERAPIA PERSONALIZADA;Nome;14802-408;421;AVENIDA DOUTOR GASTÃO VIDIGAL;JARDIM PRIMAVERA;ARARAQUARA;SP;Araraquara;FISIOTERAPIA;16;33369088;;;;;10/19/2025 12:00:00 AM
PAULA NAYARA VILASBOAS CARVALHO;CENTRO DE SAUDE E ESTETICA VILASBOAS;Nome;46400-000;113;SÃO JOÃO;CENTRO;CAETITE;BA;Caetité;FISIOTERAPIA;;;;;77;999142535;10/18/2025 12:00:00 AM
SALIS CLINICA DE TERAPIAS INTEGRATIVAS LTDA;SALIS TERAPIAS INTEGRATIVAS;Nome;32600-324;1228;AVENIDA AMAZONAS;BRASILÉIA;BETIM;MG;Belo Horizonte;TERAPIA OCUPACIONAL / NUTRICAO / FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA;31;21180220;;;31;995454472;10/17/2025 12:00:00 AM
ALVES ANTUNES SERVICOS MEDICOS LTDA;NEOKIDS CENTRO DE CIRURGIA E ESPECIALIDADES;Nome;39401-074;905;MESTRA FININHA;CIDADE SANTA MARIA;MONTES CLAROS;MG;Montes Claros;CARDIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ORTOPEDIA E TRAUMATOLOGIA  / OTORRINOLARINGOLOGIA  / FISIOTERAPIA / ALERGIA E IMUNOLOGIA  / ANESTESIOLOGIA  / CIRURGIA PEDIATRICA  / PSICOLOGIA  / PEDIATRIA  / PNEUMOLOGIA;38;32122568;;;;;10/17/2025 12:00:00 AM
SALIS CLINICA DE TERAPIAS INTEGRATIVAS LTDA;SALIS TERAPIAS INTEGRATIVAS;Nome;32315-040;4128;AVENIDA JOSÉ FARIA DA ROCHA;ELDORADO;CONTAGEM;MG;Belo Horizonte;FISIOTERAPIA / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / NUTRICAO / PSICOLOGIA;31;21180220;;;31;995454472;10/17/2025 12:00:00 AM
INSTITUTO J L MOVIMENTO E CRESCIMENTO LTDA;J L MEDICINA ESPECIALIZADA;Nome;78556-271;2301;AVENIDA DAS EMBAÚBAS;JARDIM MARINGÁ;SINOP;MT;Sinop;ORTOPEDIA E TRAUMATOLOGIA  / PEDIATRIA;66;35314446;;;66;996362010;10/17/2025 12:00:00 AM
A CAROLINA BARRA VIDAL;BOATERAPIA;Nome;91920-530;416;RUA DOUTOR PEREIRA NETO;TRISTEZA;PORTO ALEGRE;RS;CRS 01 Porto Alegre;PSICOLOGIA;;;;;51;994916119;10/17/2025 12:00:00 AM
CLINICA ANIMI LTDA;CLINICA ANIMI;Nome;11701-040;216;RUA LUIZ ANTÔNIO DE ANDRADE VIEIRA;BOQUEIRÃO;PRAIA GRANDE;SP;Baixada Santista;PSICOLOGIA;13;35928131;;;;;10/16/2025 12:00:00 AM
BFC CLINICA DE SAUDE LTDA ME;CLINICA DE VACINA;Nome;36033-318;4001;AVENIDA PRESIDENTE ITAMAR FRANCO;CASCATINHA;JUIZ DE FORA;MG;Juiz de Fora;ALERGIA E IMUNOLOGIA;32;32413731;;;;;10/16/2025 12:00:00 AM
CLINICA MEDICA SOUSA ALVES LTDA;CLINICA MEDICA SOUSA ALVES;Nome;89812-140;102;RUA ACHILES TOMAZELLI - E;CENTRO;CHAPECO;SC;Chapecó;PEDIATRIA;49;33231836;;;;;10/16/2025 12:00:00 AM
DASP CARDIOLOGISTAS ASSOCIADOS LTDA;DASP CARDIOLOGISTAS ASSOCIADOS LTDA;Nome;93010-190;611;SÃO JOAQUIM;CENTRO;SAO LEOPOLDO;RS;CRS 01 Porto Alegre;CARDIOLOGIA  / CIRURGIA VASCULAR / CIRURGIA CARDIOVASCULAR;51;35902284;;;;;10/16/2025 12:00:00 AM
TLB CLINICA SS LTDA;CLINICA TIAGO LENZ BRUM;Nome;89700-003;772;MARECHAL DEODORO;CENTRO;CONCORDIA;SC;Concórdia;PSIQUIATRIA;49;30110114;;;49;998002379;10/16/2025 12:00:00 AM
MARTINS PIVA CLINICA INTEGRADA LTDA;SERENE CLINICA INTEGRADA;Nome;85802-101;2049;RUA SETE DE SETEMBRO;NEVA;CASCAVEL;PR;Cascavel;FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA / NUTRICAO;;;;;45;991374082;10/16/2025 12:00:00 AM
ADRIANA DE FARIA PORTO PADUA ANDRADE LTDA;ADRIANA DE FARIA PORTO PADUA ANDRADE;Nome;14096-750;276;RUA AURELIANO GARCIA DE OLIVEIRA;NOVA RIBEIRÂNIA;RIBEIRAO PRETO;SP;Ribeirão Preto;PSICOLOGIA;;;;;16;988326119;10/16/2025 12:00:00 AM
MARCELO BECK GUIMARAES;MARCELO BECK GUIMARAES;Nome;90110-000;2124;PRAIA DE BELAS;PRAIA DE BELAS;PORTO ALEGRE;RS;CRS 01 Porto Alegre;CIRURGIA GERAL;51;32312901;51;32311459;;;10/16/2025 12:00:00 AM
CLINICA MULTIDISCIPLINAR VIVA MENTE LTDA;CLINICA MULTIDISCIPLINAR VIVA MENTE;Nome;89259-000;1125;RUA VINTE E CINCO DE JULHO;VILA NOVA;JARAGUA DO SUL;SC;Jaraguá do Sul;FISIOTERAPIA / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;47;34072047;;;47;996799038;10/16/2025 12:00:00 AM
REVITALLE PSIQUIATRIA E ORTOPEDIA LTDA;REVITALLE PSIQUIATRIA E ORTOPEDIA;Nome;87501-360;3221;PRAÇA OSCAR THOMPSON FILHO;ZONA I-A;UMUARAMA;PR;Umuarama;ORTOPEDIA E TRAUMATOLOGIA;44;36224836;;;;;10/16/2025 12:00:00 AM
JULIA LONDERO HELENO;JULIA LONDERO HELENO;Nome;81210-310;300;RUA JEREMIAS MACIEL PERRETTO;CAMPO COMPRIDO;CURITIBA;PR;Metropolitana;GENETICA MÉDICA;41;30288545;;;;;10/15/2025 12:00:00 AM
GFA CLINICA DE FISIOTERAPIA LTDA;CLINICA EQUILIBRIO;Nome;35700-046;611;AVENIDA GETÚLIO VARGAS;CENTRO;SETE LAGOAS;MG;Sete Lagoas;FISIOTERAPIA;31;37717873;;;;;10/15/2025 12:00:00 AM
CENTRO DE DIAGNOSTICO OTONEUROLOGICO LTDA;CENTRO DE DIAGNOSTICO OTONEUROLOGICO LTDA;Nome;38440-066;130;RUA RIO BRANCO;CENTRO;ARAGUARI;MG;Uberlândia;OTORRINOLARINGOLOGIA;34;32468586;;;;;10/15/2025 12:00:00 AM
ESPACO MUNDO MAGICO FLORIANO LTDA;ESPACO MUNDO MAGICO FLORIANO;Nome;64800-002;1022;AVENIDA BUCAR NETO;CENTRO;FLORIANO;PI;TD Vale dos Rios Piauí e Itaueiras;PSICOLOGIA  / FISIOTERAPIA / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;86;32318963;;;;;10/15/2025 12:00:00 AM
LABORATORIO BIOCESP LTDA;LABORATORIO BIOCESP;Nome;35010-090;657;RUA DOM PEDRO II;CENTRO;GOVERNADOR VALADARES;MG;Governador Valadares;PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;33;21013636;;;33;984318116;10/15/2025 12:00:00 AM
MERULA OFTALMOLOGIA LTDA ME;NUCLEO VISAO CLINICA E CIRURGIA DOS OLHOS;Nome;36013-001;566;RUA MARECHAL DEODORO;CENTRO;JUIZ DE FORA;MG;Juiz de Fora;OFTALMOLOGIA;32;32127771;;;32;988580623;10/15/2025 12:00:00 AM
ROMANI CENTRO CLINICO LTDA;ROMANI CENTRO CLINICO;Nome;89700-003;772;MARECHAL DEODORO;CENTRO;CONCORDIA;SC;Concórdia;ENDOCRINOLOGIA E METABOLOGIA;49;34259656;;;49;991286138;10/15/2025 12:00:00 AM
CLINICA INTEGRA GINECOLOGIA OBSTETRICIA E PSIQUIATRIA LTDA;CLINICA INTEGRA GINECOLOGIA E PSIQUIATRIA;Nome;37500-060;64;PRAÇA LUIZ DIAS;CENTRO;ITAJUBA;MG;Pouso Alegre;GINECOLOGIA E OBSTETRICIA;;;;;35;999151367;10/15/2025 12:00:00 AM
DIVERTENTE TERAPIAS ESPECIALIZADAS LTDA;DIVERTENTE TERAPIAS ESPECIALIZADAS;Nome;17012-621;255;RUA BALTAZAR RODRIGUES;JARDIM PLANALTO;BAURU;SP;Bauru;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;;;;14;991514484;10/15/2025 12:00:00 AM
ANA LUIZA GONCALVES DE QUADROS;FISIOTERAPEUTA ANA LUIZA;Nome;90620-130;201;RUA GOMES JARDIM;SANTANA;PORTO ALEGRE;RS;CRS 01 Porto Alegre;FISIOTERAPIA;;;;;51;999600082;10/15/2025 12:00:00 AM
EVOLUIR CENTRO DE DESENVOLVIMENTO INFANTIL LTDA;EVOLUIR CENTRO DE DESENVOLVIMENTO INFANTIL;Nome;49050-240;984;AVENIDA DOUTOR EDELZIO VIEIRA DE MELO;SUÍÇA;ARACAJU;SE;Região Aracaju;PSICOLOGIA  / TERAPIA OCUPACIONAL;;;;;79;998708485;10/15/2025 12:00:00 AM
NATALIA CARDOSO DE OLIVEIRA;NEUROPSICOLOGIA E DESENVOLVIMENTO NATALIA CARDOSO;Nome;79825-090;1695;RUA PRESIDENTE VARGAS;VILA PROGRESSO;DOURADOS;MS;NCT de Dourados;PSICOLOGIA  / NUTRICAO;;;;;67;999649368;10/15/2025 12:00:00 AM
GALANTE BUISSA SERVICOS MEDICOS LTDA;;Nome;15015-205;54;RUA ONDINA;VILA REDENTORA;SAO JOSE DO RIO PRETO;SP;São José do Rio Preto;CIRURGIA GERAL  / CIRURGIA PEDIATRICA  / HEMATOLOGIA E HEMOTERAPIA;17;32222161;17;32119401;17;981491526;10/15/2025 12:00:00 AM
GUADALUPE CLINICA MEDICA POPULAR LTDA;CLINICA GUADALUPE;Nome;30840-300;903;AVENIDA DOS ENGENHEIROS;ALÍPIO DE MELO;BELO HORIZONTE;MG;Belo Horizonte;OTORRINOLARINGOLOGIA  / ANGIOLOGIA / PSIQUIATRIA  / PNEUMOLOGIA  / DERMATOLOGIA   / CIRURGIA GERAL  / CARDIOLOGIA  / GINECOLOGIA E OBSTETRICIA  / UROLOGIA  / REUMATOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / NEUROCIRURGIA  / ORTOPEDIA E TRAUMATOLOGIA  / PEDIATRIA;31;36565611;;;;;10/14/2025 12:00:00 AM
ORTOCLIN GARDEN MEDICA LTDA - ME;ORTOCLIN GARDEN;Nome;12918-900;1013;RODOVIA ALKINDAR MONTEIRO JUNQUEIRA, KM 53,00;CAMPO NOVO;BRAGANCA PAULISTA;SP;Campinas;ORTOPEDIA E TRAUMATOLOGIA;11;40339195;11;40339295;;;10/14/2025 12:00:00 AM
RAFAEL W. DE SOUZA & CIA LTDA;CLINICA DE NEUROLOGIA SOUZA;Nome;86701-420;1700;RUA PERDIZES;CENTRO;ARAPONGAS;PR;Apucarana;NEUROLOGIA;43;30339950;;;;;10/14/2025 12:00:00 AM
BEWIKI CARE LTDA;BEWIKI CARE;Nome;88020-020;110;RUA HERMANN BLUMENAU;CENTRO;FLORIANOPOLIS;SC;Grande Florianópolis;DERMATOLOGIA   / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CIRURGIA GERAL  / OFTALMOLOGIA  / ALERGIA E IMUNOLOGIA  / UROLOGIA  / NEFROLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / CIRURGIA VASCULAR / OTORRINOLARINGOLOGIA  / CARDIOLOGIA  / CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS / ONCOLOGIA CLÍNICA / PEDIATRIA  / GASTROENTEROLOGIA  / CIRURGIA PEDIATRICA  / CIRURGIA TORACICA  / CIRURGIA DE CABEÇA E PESCOÇO / CLÍNICA MÉDICA / ENDOSCOPIA / GINECOLOGIA E OBSTETRICIA  / ANESTESIOLOGIA  / CIRURGIA PLÁSTICA / PSIQUIATRIA  / COLOPROCTOLOGIA / MASTOLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / NEUROCIRURGIA;48;31129333;;;;;10/14/2025 12:00:00 AM
DUO - MULTICLINICA DO DESENVOLVIMENTO LTDA;DUO - MULTICLINICA DO DESENVOLVIMENTO LTDA;Nome;55192-000;323;AVENIDA PADRE ZUZINHA;CENTRO;SANTA CRUZ DO CAPIBARIBE;PE;Caruaru;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / NUTRICAO / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;81;21584415;;;81;997347026;10/14/2025 12:00:00 AM
INCORPORE NUTRICAO E SAUDE LTDA;INCORPORE;Nome;37558-429;139;RUA JOSÉ RIBEIRO DO AMARAL;JARDIM OLÍMPICO;POUSO ALEGRE;MG;Pouso Alegre;NUTRICAO;;;;;35;991776564;10/14/2025 12:00:00 AM
CLINICA LUMINE LTDA;CLINICA LUMINE;Nome;84070-360;1667;RUA FRANCISCO OTAVIANO;NOVA RÚSSIA;PONTA GROSSA;PR;Ponta Grossa;TERAPIA OCUPACIONAL;;;;;42;999301020;10/14/2025 12:00:00 AM
