NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
REHABILITAR CENTRO DE REABILITACAO;REHABILITAR CENTRO DE REABILITACAO NEUROLOGICA;Nome;80045-400;1153;RUA PREFEITO ÂNGELO FERRÁRIO LOPES;ALTO DA RUA XV;CURITIBA;PR;Metropolitana;FISIOTERAPIA / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;;;;41;999175153;9/18/2025 12:00:00 AM
GR IMAGENS MEDICAS LTDA;RESSONAR IMAGENS MEDICAS;Nome;39480-000;123;DOM DANIEL;CENTRO;JANUARIA;MG;Januária;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;38;32227240;;;;;9/18/2025 12:00:00 AM
LABORATORIO MELO E OLIVEIRA LTDA;LABORATORIO SAO LUCAS;Nome;39600-000;167;RUA DOUTRO TULIO;CENTRO;ARACUAI;MG;Diamantina;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;33;37313011;;;;;9/18/2025 12:00:00 AM
ULTRAIMAGEM RM LTDA;ULTRAIMAGEM RM;Nome;38300-080;810;RUA VINTE E SEIS;CENTRO;ITUIUTABA;MG;Ituiutaba;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;34;32616001;;;34;988886001;9/18/2025 12:00:00 AM
HOSPITAL DOS OLHOS SUDOESTE DE MINAS LTDA;HOSPITAL DOS OLHOS SUDOESTE DE MINAS;Nome;37900-044;177;RUA DOUTOR SATURNINO;CENTRO;PASSOS;MG;Passos;OFTALMOLOGIA;35;35226561;;;35;991392387;9/18/2025 12:00:00 AM
HARITANNA PAULA MACEDO NUNES;HARITANNA PAULA MACEDO NUNES;Nome;95180-000;45;TIRADENTES;CENTRO;FARROUPILHA;RS;CRS 05 Caxias do Sul;NEUROLOGIA;54;34121756;;;54;999673839;9/18/2025 12:00:00 AM
HARITANNA PAULA MACEDO NUNES;HARITANNA PAULA MACEDO NUNES;Nome;95084-900;789;RUA GARIBALDI;EXPOSIÇÃO;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;NEUROLOGIA;54;30667213;;;54;996744111;9/18/2025 12:00:00 AM
THAIS DA SILVA GARCIA ME;CLINICA PSICOSAUDE;Fantasia;78303-638;472;RUA JOAO DO PRADO ARANTES;JARDIM BURITIS;TANGARA DA SERRA;MT;Tangará da Serra;PSICOLOGIA;65;32412814;;;65;999951169;9/18/2025 12:00:00 AM
T A SERVICO MEDICO E ODONTOLOGICO LTDA;THIAGO CAVALCANTE SERVICOS MEDICOS;Nome;55012-290;1019;AVENIDA AGAMENON MAGALHÃES;MAURÍCIO DE NASSAU;CARUARU;PE;Caruaru;NEUROCIRURGIA;;;;;81;995002017;9/18/2025 12:00:00 AM
LABORATORIO FURQUIM LTDA;LABORATORIO FURQUIM;Nome;37132-004;927;RUA JOÃO PAULINO DAMASCENO;SANTA RITA;ALFENAS;MG;Alfenas;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;35;34704645;;;;;9/18/2025 12:00:00 AM
ANA CRISTINA DE CARVALHO PAIVA;;Nome;30350-180;478;RUA TEIXEIRA DE FREITAS;SANTO ANTÔNIO;BELO HORIZONTE;MG;Belo Horizonte;PSICOLOGIA;;;;;31;992373403;9/18/2025 12:00:00 AM
VERSANIA CUIDADO INFANTIL UNIDADE ZONA NORTE LTDA;VERSANIA CUIDADO INFANTIL UNIDADE ZONA NORTE;Nome;02304-000;248;AVENIDA TUCURUVI;TUCURUVI;SAO PAULO;SP;Grande São Paulo;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA;11;45777381;;;31;996622600;9/18/2025 12:00:00 AM
SOUZA E PAWLAK LTDA;LABORCLIN;Nome;99835-000;17;CASEMIRO MUSTEFAGA;;AUREA;RS;CRS 11 Erechim;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;;;;54;984093021;9/17/2025 12:00:00 AM
CLINICA VENUS ITZ LTDA;CLINICA VENUS ITZ;Nome;65900-410;155;RUA URBANO SANTOS;CENTRO;IMPERATRIZ;MA;Tocantins;DERMATOLOGIA   / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;;;;99;992042453;9/17/2025 12:00:00 AM
CLINICA DE CARDIOLOGIA E DIAGNOSTICO M. RIBEIRO;CLINICA MURAKAMI RIBEIRO;Fantasia;11690-021;777;RUA HANS STADEN;CENTRO;UBATUBA;SP;Taubaté;INFECTOLOGIA  / PNEUMOLOGIA  / FONOAUDIOLOGIA  / COLOPROCTOLOGIA / GASTROENTEROLOGIA  / PSICOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CARDIOLOGIA  / CLÍNICA MÉDICA / PATOLOGIA / OTORRINOLARINGOLOGIA  / NUTRICAO / ENDOSCOPIA / MÉDICO GENERALISTA / CIRURGIA GERAL;12;38339502;12;38327533;12;994565505;9/17/2025 12:00:00 AM
CLINICA NUTRIRAMOS LTDA;CLINICA NUTRIRAMOS LTDA;Nome;37780-000;119;BARROS COBRA;CENTRO;CALDAS;MG;Pouso Alegre;NUTRICAO;;;;;33;998330535;9/17/2025 12:00:00 AM
POLLYANNA INNOCENTE FERNANDES;;Nome;14887-040;62;RUA DOS TRABALHADORES;NOVA JABOTICABAL;JABOTICABAL;SP;Ribeirão Preto;PSICOLOGIA;;;;;16;997956363;9/17/2025 12:00:00 AM
LUMINA SERVICOS MEDICOS S/S;LUMINA SERVICOS MEDICOS S/S;Nome;12246-000;335;AVENIDA ALFREDO IGNÁCIO NOGUEIRA PENIDO;PARQUE RESIDENCIAL AQUARIUS;SAO JOSE DOS CAMPOS;SP;Taubaté;PEDIATRIA;12;33080827;;;;;9/17/2025 12:00:00 AM
MILAGRES HELENO OFTALMOLOGIA LTDA;INSTITUTO DA CATARATA;Nome;36205-028;167;RUA VISCONDE DE ARAGUAIA;SÃO JOSÉ;BARBACENA;MG;Barbacena;OFTALMOLOGIA;;;;;32;984301644;9/17/2025 12:00:00 AM
CLINICA ORTOTRAUMA LTDA;CLINICA ORTOTRAUMA LTDA;Nome;36202-304;190;RUA HAMILTON NAVARRO;SÃO SEBASTIÃO;BARBACENA;MG;Barbacena;ORTOPEDIA E TRAUMATOLOGIA  / OTORRINOLARINGOLOGIA  / NUTROLOGIA / NEUROLOGIA  / CARDIOLOGIA;32;33338080;;;32;999131618;9/17/2025 12:00:00 AM
FRANCA CLINICA DE CARDIOLOGIA LTDA;ICTUS CORDIS CLINICA CARDIOLOGICA;Nome;75701-030;341;RUA DOUTOR PEDRO LUDOVICO;SETOR CENTRAL;CATALAO;GO;Estrada de Ferro;CARDIOLOGIA;64;34111667;;;;;9/17/2025 12:00:00 AM
AIRES RAMON DOS REIS PSICOLOGO CLINICO;AIRES RAMON DOS REIS PSICOLOGO CLINICO;Nome;13660-196;415;AVENIDA VICENTE ZINNI;VILA NOVA;PORTO FERREIRA;SP;Araraquara;PSICOLOGIA;;;;;19;998518780;9/17/2025 12:00:00 AM
DURAN E DANTAS LTDA;PEPITA DURAN CLINICA DE REABILITAÇÃO;Fantasia;52050-030;324;RUA CARNEIRO VILELA;AFLITOS;RECIFE;PE;Recife;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA  / FISIOTERAPIA / MEDICINA FISICA E REABILITACAO  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;81;34260834;81;32218003;81;981305211;9/16/2025 12:00:00 AM
